Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
102264,0,The Wednesday Together Club,02/11/2015,Recently registered,,0,0,0,0,0,"Ballynagolan Road, Aghavilly, Armagh, BT60 3PS",,,028 3752 4526,0,The advancement of citizenship or community development,Older people,Community development,
102266,0,North City Business Centre,20/04/2015,Recently registered,,0,0,0,0,0,"North City Business Centre, 2 Duncairn Gardens, Belfast, BT15 2GG",www.north-city.co.uk,mailbox@north-city.co.uk,02890747470,25633,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development","Adult training,General public,Unemployed/low income","Advice/advocacy/information,Community enterprise,Economic development,Education/training,Relief of poverty",
102267,0,Ambassadors Football (Ireland),09/06/2015,Recently registered,,0,0,0,0,0,"8 Derrylettiff Road, Portadown, Craigavon, County Armagh, BT62 1QU",http://ie.ambassadorsfootball.org/,ireland@ambassadorsfootball.org,07739017143,0,"The advancement of religion,The advancement of amateur sport","Children (5-13 year olds),Men,Overseas/developing countries,Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Religious activities,Sport/recreation,Volunteer development,Youth development",
102268,0,Rice Kitchen Ministries Trust,25/08/2015,Recently registered,,0,0,0,0,0,"117 Moat Road, Ballymena, County Antrim, BT42 4AA",,ricekitchenministries@live.co.uk,02825640762,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion",Children (5-13 year olds),General charitable purposes,
102269,0,The Schools Tennis Project Limited,04/09/2015,Recently registered,,0,0,0,0,0,"4 Blaris Court, Lisburn, County Antrim, BT27 5LN",,brian@tennisfundamentals.com,028 9266 0653,45667,The advancement of amateur sport,"Adult training,Children (5-13 year olds),Youth (14-25 year olds)","Education/training,Playgroup/after schools,Sport/recreation",
102270,0,Moneyslane Rural Community Hub,05/06/2015,Due documents received late,31 July 2016,780,4751,0,0,0,"69 Ballyward Road, Castlewellan, BT31 9PS",,,07929158606,613542,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Community safety/crime prevention,Ethnic minorities,General public,Men,Mental health,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,Community transport,Disability,Education/training,Rural development,Sport/recreation",
102271,0,Country Comes To Town,17/06/2015,Due documents received late,30 September 2016,32878,27485,0,0,0,"Millennium Court Arts Centre, William Street, Portadown, County Armagh, BT62 3NX",www.countrycomestotown.co.uk,bryanmcl48@live.co.uk,028 3833 3848,74062,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Ethnic minorities,General public,Interface communities,Voluntary and community sector","Community development,Cross-border/cross-community,Heritage/historical,Volunteer development",
102272,0,Maghera Community Forum,20/04/2015,Recently registered,,0,0,0,0,0,"9 Ballyhagan Road, Maghera, County Londonderry, BT46 5LR",,kate.lagan@btopenworld.com,02879642185,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of amateur sport","General public,Interface communities,Language community,Voluntary and community sector","Arts,Community development,Cross-border/cross-community,Cultural,Sport/recreation",
102273,0,Love Hockey Ireland,10/09/2015,Recently registered,,0,0,0,0,0,"1 Woodford Crescent, Armagh, BT60 2EB",www.lovehockeyireland.com,stephen@lovehockeyireland.com,+447779297414,604230,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The advancement of amateur sport,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Ethnic minorities,General public,Physical disabilities,Youth (14-25 year olds)","Cross-border/cross-community,Disability,General charitable purposes,Relief of poverty,Sport/recreation,Youth development",
102275,0,The Cathedral Quarter Arts Festival,08/07/2016,Recently registered,,0,0,0,0,0,"Cathedral Quarter Arts Festival, Unit 8 Clanmill Arts & Business Cen, Bridge Street, Belfast, BT1 1LU",www.cqaf.com,info@cqaf.com,028 9023 2403,0,"The advancement of education,The advancement of the arts, culture, heritage or science",General public,"Arts,Cultural",
102276,0,Calvary Braid Valley,27/05/2015,Up-to-date,01 September 2016,4451,2772,0,0,0,"65 Knowehead Road, Broughshane, Ballymena, County Antrim, BT43 7JE",calvarybraidvalley.org,calvarybraidvalley@gmail.com,02825 861 880,0,The advancement of religion,"Children (5-13 year olds),General public,Men,Women,Youth (14-25 year olds)","Counselling/support,Religious activities",
102280,0,Naiscoil Na Mbeann,09/03/2016,Recently registered,,0,0,0,0,0,"392 Glassdruman Road, Annalong, BT34 4QW",http://lowermournegaelic.com/naiscoil-pre-school/1755393,naiscoilnambeann@googlemail.com,07718080241,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Preschool (0-5 year olds),"Community development,Education/training",
102281,0,Newry Street Unite,24/08/2015,Recently registered,,0,0,0,0,0,"16 Springdale Crescent, Kilkeel, Newry, County Down, BT34 4XY",,newrystreetunite@gmail.com,07912361682,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Ethnic minorities,Men,Older people,Parents,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Education/training,Relief of poverty,Sport/recreation,Volunteer development,Youth development",
102282,0,Glenkeen Fife & Drum Band,27/07/2015,Up-to-date,30 September 2016,18201,13473,0,0,0,"Glenkeen Hall - Glenkeen Road, Aghadowey, Coleraine, County Londonderry, BT51 4BN",,raymond.mckeeman@btinternet.com,02870868083,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),General public,Men,Older people,Parents,Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Cultural,Education/training,Heritage/historical,Rural development,Volunteer development,Youth development",
102283,0,Curley Rural Community Association,26/05/2015,Recently registered,,0,0,0,0,0,"64 Shinn Road, Newry, County Down, BT34 1NR",,,028 4065 1647,0,"The advancement of education,The advancement of citizenship or community development","Adult training,Carers,Children (5-13 year olds),Men,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Unemployed/low income,Women,Youth (14-25 year olds)","Community development,Cultural,Economic development,Education/training,Rural development,Volunteer development,Welfare/benevolent,Youth development",
102284,0,The Adsum Foundation,20/08/2015,Recently registered,,0,0,0,0,0,"41 Arthur Street, Belfast, BT1 4GB",www.adsumfoundation.org,info@adsumfoundation.org,02890446361,71403,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Overseas/developing countries,Specific areas of deprivation","Education/training,Grant making,Relief of poverty",
102285,0,Six Mile Water Trust,27/08/2015,Recently registered,,0,0,0,0,0,"20 The Meadow, Antrim, BT41 1EY",,smwt@talktalk.net,02894 460395,0,"The advancement of education,The advancement of environmental protection or improvement","General public,Voluntary and community sector,Volunteers","Community development,Education/training,Environment/sustainable development/conservation",
102286,0,The Bridges Christian Fellowship,10/07/2015,Recently registered,,0,0,0,0,0,"4 Bolea Park, Limavady, County Londonderry, BT490SH",www.thebridgeslimavady.com,thebridges@educatr.com,02877768339,65003,"The prevention or relief of poverty,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),General public,Mental health,Specific areas of deprivation","General charitable purposes,Relief of poverty,Religious activities",
102288,0,Greater Whitewell Community Surgery,21/08/2015,Recently registered,,0,0,0,0,0,"Greater Whitewell Community Surgery, 878A-878B Shore Road, Newtownabbey, County Antrim, BT36 7DQ",,mary@gwcs.org.uk,028 90859911,0,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Children (5-13 year olds),Community safety/crime prevention,Interface communities,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cultural,Education/training,Playgroup/after schools,Volunteer development,Youth development",
102289,0,Lurgan Town Football Club,24/07/2015,Recently registered,,0,0,0,0,0,"Lurgan Town Football Club, 83 Glenavon Lane, Lurgan, Craigavon, County Armagh, BT66 8TN",www.lurgantownfc.com,info@lurgantownfc.com,07753935078,0,"The advancement of health or the saving of lives,The advancement of amateur sport,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Community safety/crime prevention,Interface communities,Older people,Volunteers,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Sport/recreation,Volunteer development,Youth development",
